id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
OneRepublic|||Counting Stars|||0|||10,OneRepublic,Counting Stars,Everything that kills me makes me feel alive,OneRepublic|||Counting Stars|||0,10,sadness,disappointment,annoyance,"[{'label': 'sadness', 'score': 0.4742906093597412}, {'label': 'neutral', 'score': 0.1437724530696869}, {'label': 'disappointment', 'score': 0.11676790565252304}, {'label': 'annoyance', 'score': 0.047519903630018234}, {'label': 'realization', 'score': 0.04095739126205444}, {'label': 'joy', 'score': 0.02549833245575428}]"
OneRepublic|||Counting Stars|||0|||11,OneRepublic,Counting Stars,"Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
<\Lyric>```",OneRepublic|||Counting Stars|||0,11,realization,approval,embarrassment,"[{'label': 'realization', 'score': 0.4839182198047638}, {'label': 'neutral', 'score': 0.4132879376411438}, {'label': 'approval', 'score': 0.07112820446491241}, {'label': 'embarrassment', 'score': 0.028251944109797478}, {'label': 'disappointment', 'score': 0.02796253003180027}, {'label': 'sadness', 'score': 0.024629171937704086}]"
OneRepublic|||Secrets|||1|||0,OneRepublic,Secrets,"```
<Artist name> OneRepublic <\Artist>
<Song title> Secrets <\Song title>
<Lyric> 
I need another story
Something to get off my chest
My life gets kinda boring
Need something that I can confess
'Til all my sleeves are stained red
From all the truth that I've said
Come by it honestly I swear
Thought you saw me wink, no
I've been on the brink, so",OneRepublic|||Secrets|||1,0,disappointment,sadness,annoyance,"[{'label': 'disappointment', 'score': 0.4070575535297394}, {'label': 'neutral', 'score': 0.3046967387199402}, {'label': 'sadness', 'score': 0.2605365812778473}, {'label': 'annoyance', 'score': 0.09743446111679077}, {'label': 'desire', 'score': 0.05954442918300629}, {'label': 'realization', 'score': 0.03051336109638214}]"
OneRepublic|||Secrets|||1|||1,OneRepublic,Secrets,"Tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,1,annoyance,disappointment,anger,"[{'label': 'neutral', 'score': 0.40939921140670776}, {'label': 'annoyance', 'score': 0.27778908610343933}, {'label': 'disappointment', 'score': 0.050226327031850815}, {'label': 'anger', 'score': 0.0484161302447319}, {'label': 'curiosity', 'score': 0.03785340487957001}, {'label': 'desire', 'score': 0.0331251285970211}]"
OneRepublic|||Secrets|||1|||2,OneRepublic,Secrets,"My God, amazing how we got this far
It's like we're chasing all those stars
Who's driving shiny big black cars
And every day I see the news
All the problems that we could solve
And when a situation rises
Just write it into an album
Send it straight to gold
But I don't really like my flow, no",OneRepublic|||Secrets|||1,2,disapproval,disappointment,annoyance,"[{'label': 'disapproval', 'score': 0.7861286997795105}, {'label': 'disappointment', 'score': 0.23447181284427643}, {'label': 'neutral', 'score': 0.09775305539369583}, {'label': 'annoyance', 'score': 0.09152930974960327}, {'label': 'realization', 'score': 0.014167756773531437}, {'label': 'approval', 'score': 0.014121697284281254}]"
OneRepublic|||Secrets|||1|||3,OneRepublic,Secrets,"So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,3,annoyance,curiosity,anger,"[{'label': 'neutral', 'score': 0.36888909339904785}, {'label': 'annoyance', 'score': 0.2735314965248108}, {'label': 'curiosity', 'score': 0.07280434668064117}, {'label': 'anger', 'score': 0.06256609410047531}, {'label': 'disappointment', 'score': 0.0417855866253376}, {'label': 'approval', 'score': 0.033381201326847076}]"
OneRepublic|||Secrets|||1|||4,OneRepublic,Secrets,"Ooh
Got no reason, got no shame
Got no family I can blame
Just don't let me disappear
I'ma tell you everything",OneRepublic|||Secrets|||1,4,annoyance,anger,disappointment,"[{'label': 'neutral', 'score': 0.6075336933135986}, {'label': 'annoyance', 'score': 0.2415844351053238}, {'label': 'anger', 'score': 0.10558804869651794}, {'label': 'disappointment', 'score': 0.036917682737112045}, {'label': 'sadness', 'score': 0.029299791902303696}, {'label': 'disapproval', 'score': 0.025169631466269493}]"
OneRepublic|||Secrets|||1|||5,OneRepublic,Secrets,"So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away",OneRepublic|||Secrets|||1,5,annoyance,anger,disapproval,"[{'label': 'annoyance', 'score': 0.4431423246860504}, {'label': 'neutral', 'score': 0.3146291673183441}, {'label': 'anger', 'score': 0.12348207831382751}, {'label': 'disapproval', 'score': 0.05579988285899162}, {'label': 'disappointment', 'score': 0.04138563945889473}, {'label': 'curiosity', 'score': 0.03631478175520897}]"
OneRepublic|||Secrets|||1|||6,OneRepublic,Secrets,"All my secrets away
All my secrets away
<\Lyric>```",OneRepublic|||Secrets|||1,6,approval,realization,annoyance,"[{'label': 'neutral', 'score': 0.956953227519989}, {'label': 'approval', 'score': 0.012390813790261745}, {'label': 'realization', 'score': 0.008205885998904705}, {'label': 'annoyance', 'score': 0.007484674919396639}, {'label': 'sadness', 'score': 0.006869393400847912}, {'label': 'anger', 'score': 0.004257591906934977}]"
OneRepublic|||Apologize|||2|||0,OneRepublic,Apologize,"```
<Artist name> OneRepublic <\Artist>
<Song title> Apologize <\Song title>
<Lyric> 
I'm holdin' on your rope
Got me ten feet off the ground
And I'm hearin' what you say
But I just can't make a sound, no
You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around and say",OneRepublic|||Apologize|||2,0,annoyance,disappointment,sadness,"[{'label': 'neutral', 'score': 0.7325476408004761}, {'label': 'annoyance', 'score': 0.09217169880867004}, {'label': 'disappointment', 'score': 0.07308866083621979}, {'label': 'sadness', 'score': 0.0455373078584671}, {'label': 'realization', 'score': 0.027778640389442444}, {'label': 'embarrassment', 'score': 0.018385333940386772}]"
OneRepublic|||Apologize|||2|||1,OneRepublic,Apologize,"That it's too late to apologize
It's too late
I said it's too late to apologize
It's too late",OneRepublic|||Apologize|||2,1,remorse,realization,embarrassment,"[{'label': 'remorse', 'score': 0.5123022794723511}, {'label': 'neutral', 'score': 0.14000126719474792}, {'label': 'realization', 'score': 0.07462836056947708}, {'label': 'embarrassment', 'score': 0.05946611613035202}, {'label': 'sadness', 'score': 0.05181553587317467}, {'label': 'disapproval', 'score': 0.03749356046319008}]"
OneRepublic|||Apologize|||2|||2,OneRepublic,Apologize,"Too late
Oh, too late",OneRepublic|||Apologize|||2,2,disappointment,realization,surprise,"[{'label': 'neutral', 'score': 0.573723554611206}, {'label': 'disappointment', 'score': 0.1344752460718155}, {'label': 'realization', 'score': 0.07154348492622375}, {'label': 'surprise', 'score': 0.045353736728429794}, {'label': 'sadness', 'score': 0.028717314824461937}, {'label': 'annoyance', 'score': 0.02756078541278839}]"
OneRepublic|||Apologize|||2|||3,OneRepublic,Apologize,"I'd take another chance
Take a fall, take a shot for you
Oh, and I need you like a heart needs a beat
But it's nothing new, yeah, yeah
I loved you with a fire red
Now it's turnin' blue and you say
Sorry like the angel
Heaven let me think was you, but I'm afraid",OneRepublic|||Apologize|||2,3,fear,love,nervousness,"[{'label': 'fear', 'score': 0.6418334245681763}, {'label': 'love', 'score': 0.42130500078201294}, {'label': 'nervousness', 'score': 0.07612632215023041}, {'label': 'approval', 'score': 0.05751737952232361}, {'label': 'sadness', 'score': 0.045746080577373505}, {'label': 'neutral', 'score': 0.038495197892189026}]"
OneRepublic|||Apologize|||2|||4,OneRepublic,Apologize,"It's too late to apologize
It's too late
I said it's too late to apologize
It's too late",OneRepublic|||Apologize|||2,4,remorse,disapproval,realization,"[{'label': 'remorse', 'score': 0.46255698800086975}, {'label': 'neutral', 'score': 0.11473991721868515}, {'label': 'disapproval', 'score': 0.08738987147808075}, {'label': 'realization', 'score': 0.060867685824632645}, {'label': 'sadness', 'score': 0.05102565512061119}, {'label': 'embarrassment', 'score': 0.04459330067038536}]"
OneRepublic|||Apologize|||2|||5,OneRepublic,Apologize,"Woah, woah, late",OneRepublic|||Apologize|||2,5,surprise,excitement,realization,"[{'label': 'surprise', 'score': 0.3719390034675598}, {'label': 'neutral', 'score': 0.23525790870189667}, {'label': 'excitement', 'score': 0.1934375762939453}, {'label': 'realization', 'score': 0.056680336594581604}, {'label': 'joy', 'score': 0.027806434780359268}, {'label': 'amusement', 'score': 0.022509614005684853}]"
OneRepublic|||Apologize|||2|||6,OneRepublic,Apologize,"It's too late to apologize
It's too late
I said it's too late to apologize
It's too late
I said it's too late to apologize, yeah (Too late)
I said it's too late to apologize, yeah (Too late)",OneRepublic|||Apologize|||2,6,approval,realization,disapproval,"[{'label': 'neutral', 'score': 0.24589933454990387}, {'label': 'approval', 'score': 0.11226276308298111}, {'label': 'realization', 'score': 0.09957873821258545}, {'label': 'disapproval', 'score': 0.06711486726999283}, {'label': 'remorse', 'score': 0.06255394220352173}, {'label': 'annoyance', 'score': 0.045543234795331955}]"
OneRepublic|||Apologize|||2|||7,OneRepublic,Apologize,"I'm holdin' on your rope
Got me ten feet off the ground
<\Lyric>```",OneRepublic|||Apologize|||2,7,approval,annoyance,caring,"[{'label': 'neutral', 'score': 0.9611377120018005}, {'label': 'approval', 'score': 0.017708076164126396}, {'label': 'annoyance', 'score': 0.00766686862334609}, {'label': 'caring', 'score': 0.006937487982213497}, {'label': 'realization', 'score': 0.006686463486403227}, {'label': 'optimism', 'score': 0.004918292164802551}]"
OneRepublic|||Kids|||3|||0,OneRepublic,Kids,"```
<Artist name> OneRepublic <\Artist>
<Song title> Kids <\Song title>
<Lyric> 
Days when
We'd fight, we'd fight 'til I would give in
Yeah, perfect disasters
We were reaching, reaching for the rafters, hey",OneRepublic|||Kids|||3,0,approval,annoyance,admiration,"[{'label': 'neutral', 'score': 0.705237865447998}, {'label': 'approval', 'score': 0.2254990041255951}, {'label': 'annoyance', 'score': 0.020286226645112038}, {'label': 'admiration', 'score': 0.016940416768193245}, {'label': 'realization', 'score': 0.016393456608057022}, {'label': 'excitement', 'score': 0.014417771250009537}]"
OneRepublic|||Kids|||3|||1,OneRepublic,Kids,"And on most of the days, we were searching for ways
To get up and get out of the town we were raised
Yeah, 'cause we were done
I remember
We were sleeping in cars, we were searching for Oz
We were burning cigars with the white plastics tips
'Til we saw the sun
But we said crazy things like",OneRepublic|||Kids|||3,1,excitement,joy,amusement,"[{'label': 'neutral', 'score': 0.6376556754112244}, {'label': 'excitement', 'score': 0.10336484760046005}, {'label': 'joy', 'score': 0.06025560572743416}, {'label': 'amusement', 'score': 0.05446247756481171}, {'label': 'approval', 'score': 0.030157845467329025}, {'label': 'annoyance', 'score': 0.014785290695726871}]"
OneRepublic|||Kids|||3|||2,OneRepublic,Kids,"I refuse to look back thinking days were better
Just because they're younger days
I don't know what's 'round the corner
Way I feel right now, I swear we'll never change
Back when we were kids
Swore we would never die
You and me were kids
Swear that we'll never die",OneRepublic|||Kids|||3,2,disapproval,confusion,optimism,"[{'label': 'disapproval', 'score': 0.6171913146972656}, {'label': 'confusion', 'score': 0.2142520248889923}, {'label': 'neutral', 'score': 0.20829281210899353}, {'label': 'optimism', 'score': 0.05551352724432945}, {'label': 'realization', 'score': 0.054371509701013565}, {'label': 'disappointment', 'score': 0.04906826093792915}]"
OneRepublic|||Kids|||3|||3,OneRepublic,Kids,"Lights down
And we drive and we're drivin' just to get out
Yeah, perfect disasters
Yeah we were swinging, swinging from the rafters, hey",OneRepublic|||Kids|||3,3,excitement,joy,approval,"[{'label': 'neutral', 'score': 0.5692930221557617}, {'label': 'excitement', 'score': 0.1775144785642624}, {'label': 'joy', 'score': 0.1062287762761116}, {'label': 'approval', 'score': 0.08516695350408554}, {'label': 'admiration', 'score': 0.02349204197525978}, {'label': 'amusement', 'score': 0.01584538444876671}]"
OneRepublic|||Kids|||3|||4,OneRepublic,Kids,"We were dancing in cars, we were looking for Oz
We were naming the stars after people we knew
'Til we had to go
And we were saying things like",OneRepublic|||Kids|||3,4,joy,excitement,amusement,"[{'label': 'neutral', 'score': 0.45398637652397156}, {'label': 'joy', 'score': 0.2938665747642517}, {'label': 'excitement', 'score': 0.12685559689998627}, {'label': 'amusement', 'score': 0.09490375965833664}, {'label': 'approval', 'score': 0.029372340068221092}, {'label': 'realization', 'score': 0.0133478669449687}]"
OneRepublic|||Kids|||3|||5,OneRepublic,Kids,"Nights when we kept dancing
Changing all our plans and
Making every day a holiday
Feel the years start burning
City lights, they're turning
But something 'bout this feels the same",OneRepublic|||Kids|||3,5,realization,joy,approval,"[{'label': 'neutral', 'score': 0.8181841969490051}, {'label': 'realization', 'score': 0.06365396082401276}, {'label': 'joy', 'score': 0.05467921495437622}, {'label': 'approval', 'score': 0.03606260567903519}, {'label': 'excitement', 'score': 0.02153106965124607}, {'label': 'amusement', 'score': 0.007936455309391022}]"
OneRepublic|||Kids|||3|||6,OneRepublic,Kids,"Back when we were kids
Swore we would never die
You and me were kids
Swear that we'll never die",OneRepublic|||Kids|||3,6,optimism,realization,sadness,"[{'label': 'neutral', 'score': 0.9173818230628967}, {'label': 'optimism', 'score': 0.02405136451125145}, {'label': 'realization', 'score': 0.023412637412548065}, {'label': 'sadness', 'score': 0.02036217413842678}, {'label': 'approval', 'score': 0.01764865219593048}, {'label': 'fear', 'score': 0.017270579934120178}]"
OneRepublic|||Kids|||3|||7,OneRepublic,Kids,"I refuse to look back thinking days were better
Just because they're younger days
(You and me were kids)
I don't know what's 'round the corner
Way I feel right now, I swear we'll never change
You and me were kids
<\Lyric>```",OneRepublic|||Kids|||3,7,confusion,disapproval,realization,"[{'label': 'confusion', 'score': 0.506782054901123}, {'label': 'disapproval', 'score': 0.4752821922302246}, {'label': 'neutral', 'score': 0.16375045478343964}, {'label': 'realization', 'score': 0.06622437387704849}, {'label': 'disappointment', 'score': 0.05427175015211105}, {'label': 'annoyance', 'score': 0.04893920198082924}]"
OneRepublic|||I Lived|||4|||0,OneRepublic,I Lived,"```
<Artist name> OneRepublic <\Artist>
<Song title> I Lived <\Song title>
<Lyric> 
Hope when you take that jump, you don't fear the fall
Hope when the water rises, you built a wall
Hope when the crowd screams out, it's screaming your name
Hope if everybody runs, you choose to stay
Hope that you fall in love and it hurts so bad, hey
The only way you can know, you give it all you have
And I hope that you don't suffer, but take the pain",OneRepublic|||I Lived|||4,0,optimism,caring,desire,"[{'label': 'optimism', 'score': 0.8086580038070679}, {'label': 'caring', 'score': 0.1857178658246994}, {'label': 'desire', 'score': 0.1449464112520218}, {'label': 'love', 'score': 0.086013562977314}, {'label': 'sadness', 'score': 0.05509129539132118}, {'label': 'neutral', 'score': 0.04908614233136177}]"
OneRepublic|||I Lived|||4|||1,OneRepublic,I Lived,"Hope when the moment comes, you'll say",OneRepublic|||I Lived|||4,1,optimism,desire,caring,"[{'label': 'optimism', 'score': 0.907174289226532}, {'label': 'neutral', 'score': 0.09665445238351822}, {'label': 'desire', 'score': 0.07369089871644974}, {'label': 'caring', 'score': 0.023061322048306465}, {'label': 'approval', 'score': 0.015734747052192688}, {'label': 'annoyance', 'score': 0.007051704917103052}]"
OneRepublic|||I Lived|||4|||2,OneRepublic,I Lived,"I, I did it all
I, I did it all
I owned every second that this world could give
I saw so many places, the things that I did
Yeah, with every broken bone
I swear I lived",OneRepublic|||I Lived|||4,2,approval,joy,excitement,"[{'label': 'approval', 'score': 0.3117942810058594}, {'label': 'neutral', 'score': 0.24502170085906982}, {'label': 'joy', 'score': 0.167371466755867}, {'label': 'excitement', 'score': 0.14049695432186127}, {'label': 'realization', 'score': 0.06636551767587662}, {'label': 'admiration', 'score': 0.04550740122795105}]"
OneRepublic|||I Lived|||4|||3,OneRepublic,I Lived,"Hope that you spend your days, but they all add up
And when that sun goes down hope you raise your cup, oh-oh
I wish that I could witness all your joy and all your pain",OneRepublic|||I Lived|||4,3,desire,optimism,caring,"[{'label': 'desire', 'score': 0.7991853952407837}, {'label': 'optimism', 'score': 0.2318318635225296}, {'label': 'neutral', 'score': 0.05730162188410759}, {'label': 'caring', 'score': 0.01775074377655983}, {'label': 'disappointment', 'score': 0.01631440408527851}, {'label': 'sadness', 'score': 0.013624601997435093}]"
OneRepublic|||I Lived|||4|||4,OneRepublic,I Lived,"But until my moment comes, I'll say",OneRepublic|||I Lived|||4,4,approval,optimism,realization,"[{'label': 'neutral', 'score': 0.8271834254264832}, {'label': 'approval', 'score': 0.0780087262392044}, {'label': 'optimism', 'score': 0.05835525318980217}, {'label': 'realization', 'score': 0.0474419966340065}, {'label': 'confusion', 'score': 0.015544363297522068}, {'label': 'disapproval', 'score': 0.009678869508206844}]"
OneRepublic|||I Lived|||4|||5,OneRepublic,I Lived,"With every broken bone
I swear I lived
With every broken bone
I swear I—",OneRepublic|||I Lived|||4,5,sadness,realization,approval,"[{'label': 'neutral', 'score': 0.8666281700134277}, {'label': 'sadness', 'score': 0.03303944692015648}, {'label': 'realization', 'score': 0.028483767062425613}, {'label': 'approval', 'score': 0.026347234845161438}, {'label': 'annoyance', 'score': 0.014068725518882275}, {'label': 'disgust', 'score': 0.012479405850172043}]"
OneRepublic|||I Lived|||4|||6,OneRepublic,I Lived,"I swear I lived
<\Lyric>```",OneRepublic|||I Lived|||4,6,approval,realization,annoyance,"[{'label': 'neutral', 'score': 0.7878971695899963}, {'label': 'approval', 'score': 0.09672391414642334}, {'label': 'realization', 'score': 0.036974165588617325}, {'label': 'annoyance', 'score': 0.010313916020095348}, {'label': 'disgust', 'score': 0.007532472722232342}, {'label': 'sadness', 'score': 0.004765234421938658}]"
OneRepublic|||Start Again|||5|||0,OneRepublic,Start Again,"```
<Artist name> OneRepublic <\Artist>
<Song title> Start Again <\Song title>
<Lyric> 
Can't I just turn back the clock?
Forgive my sins
I just wanna roll my sleeves up
And start again
I know that I messed it up
Time and time again
I just wanna roll my sleeves up
And start again",OneRepublic|||Start Again|||5,0,remorse,desire,sadness,"[{'label': 'remorse', 'score': 0.4653942286968231}, {'label': 'desire', 'score': 0.14253810048103333}, {'label': 'neutral', 'score': 0.1357099413871765}, {'label': 'sadness', 'score': 0.07424002140760422}, {'label': 'curiosity', 'score': 0.07146850973367691}, {'label': 'caring', 'score': 0.026419969275593758}]"
OneRepublic|||Start Again|||5|||1,OneRepublic,Start Again,"I was switchin' up the lanes
Steppin' out the frame I'm in
I was pulling on the reins
Sick of all the same happenin'
I swear I was looking for disaster
Mixed with a bottle of gin
And just because I come home after
Doesn't mean you'll take me in",OneRepublic|||Start Again|||5,1,disappointment,annoyance,disapproval,"[{'label': 'neutral', 'score': 0.6390537619590759}, {'label': 'disappointment', 'score': 0.25264641642570496}, {'label': 'annoyance', 'score': 0.08554352819919586}, {'label': 'disapproval', 'score': 0.0665736198425293}, {'label': 'sadness', 'score': 0.06595524400472641}, {'label': 'realization', 'score': 0.02200007066130638}]"
OneRepublic|||Start Again|||5|||2,OneRepublic,Start Again,"You see my world is spinning like there's nothing below
You see my world is feeling like it just might explode
And yes I know it's hard to take it backwards from my mind
I need to get it right, need to see some light come in",OneRepublic|||Start Again|||5,2,desire,optimism,approval,"[{'label': 'desire', 'score': 0.627751886844635}, {'label': 'neutral', 'score': 0.30424532294273376}, {'label': 'optimism', 'score': 0.054892927408218384}, {'label': 'approval', 'score': 0.05399695411324501}, {'label': 'annoyance', 'score': 0.01889592781662941}, {'label': 'excitement', 'score': 0.015022126026451588}]"
OneRepublic|||Start Again|||5|||3,OneRepublic,Start Again,"Feelin' like maybe I'm unappreciated
Like my presence in your life has been alleviated
I feel like everything I've done before is different now
But I can see clearer than ever from a distance now
Every day I do it, I been goin' through it
But you never knew it 'cause I never showed you
You gave me the world, so I feel I owed you
I been lookin' through the mirror and that's the old you
I'ma get it right now, don't know how
But I promise that we're gonna make it somehow
I'm all in, it's from the heart again
Open up your mind and maybe we could start again",OneRepublic|||Start Again|||5,3,optimism,approval,caring,"[{'label': 'optimism', 'score': 0.2587263286113739}, {'label': 'neutral', 'score': 0.23462553322315216}, {'label': 'approval', 'score': 0.217777818441391}, {'label': 'caring', 'score': 0.07003337144851685}, {'label': 'desire', 'score': 0.0672299787402153}, {'label': 'realization', 'score': 0.05655005946755409}]"
OneRepublic|||Start Again|||5|||4,OneRepublic,Start Again,"Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh",OneRepublic|||Start Again|||5,4,surprise,excitement,realization,"[{'label': 'neutral', 'score': 0.4467679560184479}, {'label': 'surprise', 'score': 0.1507919281721115}, {'label': 'excitement', 'score': 0.14201496541500092}, {'label': 'realization', 'score': 0.09024009108543396}, {'label': 'approval', 'score': 0.028303280472755432}, {'label': 'joy', 'score': 0.027702584862709045}]"
