id,artist_name,song_title,lyrics,parent_id,chunk_order,
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||0,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Around My Way (Freedom Ain?™t Free) <\Song title>
<Lyric> 
Yeah
Great American Rap, resurrect...
Rest in peace, Young F
'Porting live from the set
Uh
'Porting live from the set, yeah!",Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,0,
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||1,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),"First off, say ""Peace"" to Pine Ridge
Shame at all the damage that the white man wine did
Ghost Dance, Trail of Tears, five million beers a year
And all that other crime did
More peace to the teachers of blind kids
To rebels in small cells keeping their mind big
Say everything's hostile, suicide bombers
And prosperity gospels, emaciated models
With cocaine and blood pouring out their nostrils
They got to, just to stay awake
On the catwalk of life where everybody watch you
Straight hair, high heels, and a handbag
Crucifixes, racism, and a land grab
Katrina, FEMA trailers, human body sandbags
A peace sign and a pants sag
A money toss cause a nine-stripper mad dash
A friend request, follow, and a hashtag
Now everybody want it like the last laugh
A Michael Jackson jacket or a Daft mask
Purple Jordans or the mixed girl in your math class
Stable is when the Ba'ath had Baghdad
But corporate jets really had to have that gas bad
War and they hope they all fall from the ratatat
'Cause that's just more dinosaur for their Cadillac",Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,1,
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||2,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),"Live from the other side, what you see?
A bunch of nonsense on my TV
Heaven on Earth is what I need
But I feel I'm in Hell every time I breathe
'Porting live from the other side, what you hear?
A bunch of nonsense all in my ear
Rich man, poor man, we all gotta pay
'Cause freedom ain't free, 'specially round my way",Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,2,
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||3,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),"And we marvel at the state of Ottoman
Then turn around and treat Ghana like a garbage can
America's a big motherfuckin' garbageman
If you ain't know, you're part and parcel of the problem
You say no you ain't, and I say yes you is
Soon as you find out what planned obsolescence is
You say no they didn't, and I say yes they did
The definition of unnecessary-ness
Manifested
Say that we should protest just to get arrested
That goes against all my hustling ethics
A bunch of jail niggas say it's highly ineffective
Depart from Martin, connect on Malcolm X tip
Insert Baldwin to similar the separate
To me, the truth is more fulfilling than a meth hit
Or finding really fast internet to have some sex with
It's all one song short of a set list
Couple croissants shy of a continental breakfast
Or blowing out your birthday candles just to make a death wish
So absurd, word to Chief Bone Necklace
Down at the Lakota Sioux Casino
A whole culture boiled down to giving you pokeno
I go as left as a heart in the chest
'Cause the Horn of Africa is now starving to death",Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,3,
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||4,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),"An all-white Los Angeles, the dream of Mr. Chandler
Hope and pray they take Columbus Day up off the calendar
South Central, an example of God's gifts
So shout to all the mothers raising babies in SPA 6
The projects of Oakland city, Detroit ghost towns
Monopolies on poverty where D-boy coke bound
It?™s parts of Manila like the video for ""Thriller""
But the U.S. Embassy is reminiscent of a villa
If poverty is chocolate and privilege, vanilla
Then what?™s the flavor of the Sunday preacher?™s pedophilia?
Cash rules everything around these niggas
As classrooms everywhere around me wither
Hither you can be Mr. Burns or Mr. Smithers
The tyrant or the slave, but nowhere in the mid-ler
Of the extremes of America?™s dream
Freud fighting Neo, Freddy Krueger refereeing, now??,Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,4
Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2|||5,Lupe Fiasco,Around My Way (Freedom Ain?™t Free),Great American rap resurrect...",,,
Lupe on the check,,,,,,
Westside till I die!,,,,,,
"<\Lyric>```""",Lupe Fiasco|||Around My Way (Freedom Ain?™t Free)|||2,5,,,,
Lupe Fiasco|||Words I Never Said|||3|||0,Lupe Fiasco,Words I Never Said,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Words I Never Said <\Song title>
<Lyric> 
It's so loud inside my head
With words that I should have said
As I drown in my regrets
I can't take back the words I never said
I can't take back the words I never said",Lupe Fiasco|||Words I Never Said|||3,0,
Lupe Fiasco|||Words I Never Said|||3|||1,Lupe Fiasco,Words I Never Said,"I really think the War on Terror is a bunch of bullshit
Just a poor excuse for you to use up all your bullets
How much money does it take to really make a full clip?
9/11, building 7, did they really pull it?
Uh, and a bunch of other coverups
Your child's future was the first to go with budget cuts
If you think that hurts, then wait, here comes the uppercut
The school was garbage in the first place, that's on the up and up
Keep you at the bottom but tease you with the upper crust
You get it, then they move it, so you never keeping up enough
If you turn on TV, all you see's a bunch of what-the-fucks
Dude is dating so and so, blabbering 'bout such and such
And that ain't Jersey Shore, homie, that's the news
And these the same people supposedly telling us the truth
Limbaugh is a racist, Glenn Beck is a racist
Gaza Strip was getting bombed, Obama didn't say shit
That's why I ain't vote for him, next one either
I'm a part of the problem, my problem is I'm peaceful
And I believe in the people, yeah",Lupe Fiasco|||Words I Never Said|||3,1,
Lupe Fiasco|||Words I Never Said|||3|||2,Lupe Fiasco,Words I Never Said,"It's so loud inside my head
With words that I should have said
As I drown in my regrets
I can't take back the words I never said",Lupe Fiasco|||Words I Never Said|||3,2,
Lupe Fiasco|||Words I Never Said|||3|||3,Lupe Fiasco,Words I Never Said,"Now we can say it ain't our fault if we never heard it
But if we know better, then we probably deserve it
Jihad is not holy war, where's that in the worship?
Murdering is not Islam, and you are not observant
And you are not a Muslim
Israel don't take my side 'cause look how far you've pushed them
Walk with me into the ghetto, this where all the kush went
Complain about the liquor store, but what you drinking liquor for?
Complain about the gloom, but when'd you pick a broom up?
Just listening to Pac ain't gon' make it stop
A rebel in your thoughts ain't gon' make it halt
If you don't become a actor, you'll never be a factor
Pills with million side effects, take 'em when the pain's felt
Wash 'em down with diet soda, killing off your brain cells
Crooked banks around the world would gladly give a loan today
So if you ever miss a payment, they can take your home away",Lupe Fiasco|||Words I Never Said|||3,3,
Lupe Fiasco|||Words I Never Said|||3|||4,Lupe Fiasco,Words I Never Said,"It's so loud inside my head
With words that I should have said
As I drown in my regrets
I can't take back the words I never said, never said
I can't take back the words I never said",Lupe Fiasco|||Words I Never Said|||3,4,
Lupe Fiasco|||Words I Never Said|||3|||5,Lupe Fiasco,Words I Never Said,"I think that all the silence is worse than all the violence
Fear is such a weak emotion, that's why I despise it
We scared of almost everything, afraid to even tell the truth
So scared of what you think of me, I'm scared of even telling you
Sometimes I'm like the only person I feel safe to tell it to
I'm locked inside a cell in me, I know that there's a jail in you
Consider this your bailing out, so take a breath, inhale a few
My screams is finally getting free, my thoughts is finally yelling through
<\Lyric>```",Lupe Fiasco|||Words I Never Said|||3,5,
Lupe Fiasco|||The Show Goes On|||4|||0,Lupe Fiasco,The Show Goes On,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> The Show Goes On <\Song title>
<Lyric> 
LA-SER
Yeah, yeah
Kane is in the building, nigga
Yeah",Lupe Fiasco|||The Show Goes On|||4,0,
Lupe Fiasco|||The Show Goes On|||4|||1,Lupe Fiasco,The Show Goes On,"Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, 'til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on",Lupe Fiasco|||The Show Goes On|||4,1,
Lupe Fiasco|||The Show Goes On|||4|||2,Lupe Fiasco,The Show Goes On,"Have you ever had the feelin' that you was bein' had?
Don't that shit there make you mad? They treat you like a slave
Put chains all on your soul and put whips up on your back
They be lyin' through they teeth, hope you slip up off your path
I don't switch up, I just laugh (Ha ha) put my kicks up on they desk
Unaffected by they threats, then get busy on they ass
See that's how that Chi-Town made me
That's how my daddy raised me
That glitterin' may not be gold, don't let nobody play me
If you are my homeboy, you never have to pay me
Gon' and put your hands up, when times is hard, you stand up
L-U-P the man, 'cause the brand that the fans trust
So even if they ban us, they'll never slow my plans up",Lupe Fiasco|||The Show Goes On|||4,2,
Lupe Fiasco|||The Show Goes On|||4|||3,Lupe Fiasco,The Show Goes On,"One in the air for the people ain't here
Two in the air for the father that's there
Three in the air for the kids in the ghetto
Four for the kids that don't wanna be there
None for the niggas tryna hold them back
Five in the air for the teachers not scared
To tell those kids that's livin' in the ghetto
That the niggas holdin' back that the world is theirs
Yeah, yeah, the world is yours, I was once that little boy
Terrified of the world, now I'm on a world tour
I would give up everything, even start a world war
For these ghetto girls and boys I'm rappin' round the world for
Africa to New York, Haiti then I detour
Oakland out to Auckland, Gaza Strip to Detroit
Say hip-hop only destroy, tell 'em look at me, boy
I hope your son don't have a gun and never be a d-boy",Lupe Fiasco|||The Show Goes On|||4,3,
Lupe Fiasco|||The Show Goes On|||4|||4,Lupe Fiasco,The Show Goes On,"So no matter what you been through, no matter what you into
No matter what you see when you look outside your window
Brown grass or green grass, picket fence or barbed wire
Never ever put them down, you just lift your arms higher
Raise 'em 'til your arms tired, let 'em know you here
That you strugglin', survivin', that you gon' persevere
Yeah, ain't nobody leavin', nobody goin' home
Even if they turn the lights out, the show is goin' on, alright
<\Lyric>```",Lupe Fiasco|||The Show Goes On|||4,4,
Lupe Fiasco|||SLR 2|||5|||0,Lupe Fiasco,SLR 2,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> SLR 2 <\Song title>
<Lyric> 
For real though, like for real though
Like for real
You know what I'm sayin', I don't even
It's like, niggas must forget who the fuck
Did what the fuck
When the fuck
When niggas was still, not the fuck
Or whatever
Fine then, I say",Lupe Fiasco|||SLR 2|||5,0,
Lupe Fiasco|||SLR 2|||5|||1,Lupe Fiasco,SLR 2,"Dear Lord, have mercy on my banana clips
Give 'em half, call it that banana splits
But my halves is really like a banana 6
Do these bananas have any idea who they on the planet with?
Apes, yeah you bananas to the grapes
That mean your bitch got a banana in her face
And wine on her chin, get these heathens off of my trunk
And all of these swine up off my rims
Tryin' to take the shine up off of my Benz
SLR, nigga please
Niggas 'bout to go to work so these bitches gon' have to leave
Gon' roll around with that B-Y, nigga just roll up my sleeve
Got body plans, so I karate stance so I could open up my chi
Lu the boy, too Bruce Leroy to destroy
Doo doo beat like two T-boys with one freak one me
But I can DP like it's three more
Three rewards for me or me or me or me or me or me
Team me is like meat eating animals meeting a meteor
Dinosaurs, I'm fine with all kinds of wars
Knives and swords, lions, tigers bitin' boars
Lightening striking Viking hordes
Fighting heightened, violence soars",Lupe Fiasco|||SLR 2|||5,1,
Lupe Fiasco|||SLR 2|||5|||2,Lupe Fiasco,SLR 2,"That was Adolf, reacting to my new shit
Translation: how come he can't be as evil as Lu get?
Well that's cause you ain't Lu, bitch
Took two sips of the holy grail
Then I backed up and I turned around
And I bent over and pittoo'd shit
I love Jay, that's my nigga
I feel sicker than a cruise ship
I ain't competition, I don't move shit
The only opposition is this new shit
These new niggas rappin' like they 2
They be actin' like they you, man that's-- wheeeeeew shit
What happened to the game?
Niggas think they Jappin' cause they rappin' like they Wayne
Rappin' like they Chainz
I ain't matchin' them in platinum
But I'm rappin' like I'm flames
Like smackin' them in the back of him and my antonyms is on 'cain
And my heroin is on metaphors and my metaphors is on brains
My left foot is in LA but my right foot is in Spain
Now we all heard what he said, but what he said means we dead
And that shit is insane
He's so crazy, look at the little baby
Nigga you ain't Nas, nigga you ain't Jay-Z
You will respect me, you will reject me
But I've done so much, no matter how far you go, you will reflect me
SLR, nigga please
These niggas 'bout to go to work so these bitches gon' have to leave
And when the bitch gone, knee shots disabled
DVD of Dick Jones in your TV and a grenade all on your table.
And my punch bowl's like an ocean
And I lay it on by the ladle
But it's so strong, when I pull it out, I'm only hangin' on to a handle
Satan on my ankles while I'm hangin' on to an angel
Ain't hatin' on that you hatin' wrong, cause you can't hang on to my angles
It's hard being a Lupe fan, go to Harvard to be a Lupe stan
I ain't sayin' that I'm harder, it's just harder when it's in Lupe's hands
Welcome nigga, Lupe Land, SLR
Here we go, FL bars
Hold up, go back to the hard part
Would say pause, but I was talkin' 'bout my own balls
Nigga
<\Lyric>```",Lupe Fiasco|||SLR 2|||5,2,
Lupe Fiasco|||Superstar|||6|||0,Lupe Fiasco,Superstar,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Superstar <\Song title>
<Lyric> 
If you are what you say you are (Yeah, yeah)
A superstar (Gon' say now)
Then have no fear, the camera's here (Uh)
And the microphones
And they wanna know, oh, oh, oh (The return)
If you are what you say you are
A superstar (Uh-huh)
Then have no fear, the crowd is here (Yeah)
And the lights are on (Ha)
And they want a show, oh, oh, oh, yeah (Free Chilly)",Lupe Fiasco|||Superstar|||6,0,
Lupe Fiasco|||Superstar|||6|||1,Lupe Fiasco,Superstar,"Yeah, uh, a fresh cool young Lu'
Tryna cash his microphone check, two-one-two
Wanna believe my own hype, but it's too untrue
The world brought me to my knees; ""What have you brung? You?
Did you improve on a design? Did you do something new?
Well, your name ain't on the guest list, who brung you?
You?”the more famous person?”you come through
And the sexy lady next to you, come too!""
And then it hit me, standing outside of Heaven
Waiting for God to come and get me: I'm too uncouth
Unschooled to the rules and too gumshoe
Too much of a newcomer and too uncool
Like Shadow and Lavelle, I battle with it well
Though I need a holiday like lady who sung blue
""Go back, whatever you did, you undo.""
Heavy as Heaven, the Devil on me, two tons too
Ha, ha, ha, ha-ha-ha",Lupe Fiasco|||Superstar|||6,1,
Lupe Fiasco|||Superstar|||6|||2,Lupe Fiasco,Superstar,"If you are what you say you are
A superstar
Then have no fear, the camera's here
And the microphones
And they wanna know, oh, oh, oh, yeah",Lupe Fiasco|||Superstar|||6,2,
Lupe Fiasco|||Superstar|||6|||3,Lupe Fiasco,Superstar,"And you better wear your shades
The spotlights here can burn holes through the stage
Down through the basement, past the Indian graves
Where the dinosaurs laid and (Pew!)
Out through China, nearly misses airliners
Magnified times five, this was pointed at the rhymer
Ricochets off the moon and sets the forest ablaze (Woo!)
Now, that's important to say
'Cause even with all that, most of us don't want it to fade
We want it to braid
Meaning we want it to grow, meaning we want it to stay
Like the governor called, and he told him to wait
Unstrap him from the chair, put him back in his cage
The audience ain't fazed
And they ain't gon' clap, and they ain't gon' praise (Uh)
They want everything back (Back) that they've paid
'Cause they've been waiting since ten to see the lights get dim
Ha, ha, ha, ha-ha-ha",Lupe Fiasco|||Superstar|||6,3,
Lupe Fiasco|||Superstar|||6|||4,Lupe Fiasco,Superstar,"If you are what you say you are
A superstar
Then have no fear, the crowd is here
And the lights are on
And they want a show, oh, oh, oh, yeah",Lupe Fiasco|||Superstar|||6,4,
Lupe Fiasco|||Superstar|||6|||5,Lupe Fiasco,Superstar,"So, chauffeur, chauffeur, come and take me away
'Cause I've been standing in this line for, like, five whole days
Me and security ain't getting along, and when I got to the front
They told me all of the tickets were gone
So just take me home where the mood is mellow
And the roses are thrown, M&M's are yellow
And the light bulbs around my mirror don't flicker
Everybody gets a nice autograph picture
One for you and one for your sister
Who had to work tonight but is an avid listener
Every song's her favorite song; and mics don't feedback
All the reviewers say, ""You need to go and see that!""
And everybody claps, 'cause everybody is pleased
And then, they all take the stage and start performing for me
Like, ""Ha, ha, ha-ha-ha""
""Ha, ha, ha-ha-ha, ha""",Lupe Fiasco|||Superstar|||6,5,
Lupe Fiasco|||Superstar|||6|||6,Lupe Fiasco,Superstar,"If you are what you say you are
A superstar (Star)
Then have no fear, the camera's here
And the microphones
And they wanna know, oh, oh, oh (Yeah)",Lupe Fiasco|||Superstar|||6,6,
Lupe Fiasco|||Superstar|||6|||7,Lupe Fiasco,Superstar,"If you are
What you say you are
Then have no fear
<\Lyric>```",Lupe Fiasco|||Superstar|||6,7,
Lupe Fiasco|||Lamborghini Angels|||7|||0,Lupe Fiasco,Lamborghini Angels,"```
<Artist name> Lupe Fiasco <\Artist>
<Song title> Lamborghini Angels <\Song title>
<Lyric> 
It's a mad world out here, I tell you
The world's gone stark, raving mad
Everyone in the world is mad
It's a mad crazy world",Lupe Fiasco|||Lamborghini Angels|||7,0,
Lupe Fiasco|||Lamborghini Angels|||7|||1,Lupe Fiasco,Lamborghini Angels,"I see diamond-flooded demons
Lamborghini angels
Lamborghini angels
Lamborghini angels
Halos down with the doors flapping when they came through
Halos down with the doors flapping when they came through",Lupe Fiasco|||Lamborghini Angels|||7,1,
Lupe Fiasco|||Lamborghini Angels|||7|||2,Lupe Fiasco,Lamborghini Angels,"With a circle on the floor he compels them to be pure
Pulls the beast out of his heart then impales it on a sword
Writes a prayer on some paper and then he nails it to the door
Just the good of you may enter by the mercy of the lord
Listen not to what he speaks, that's been the cursing of his cause
A seduction of his senses by the devils he adores
The unholy has him hostage and his soul is now at war
Follow not his secret knowledge it will bring you no reward
Shun him while in public disallow him from your stores
Have no part in his affairs 'less his pestilence be yours
Make scoundrels of the righteous and virgins into whores
But we must still pray that his color will be cured",Lupe Fiasco|||Lamborghini Angels|||7,2,
